start	end	text
1201000	1202000	It's the same idea.
1202000	1203000	You know what I mean?
1203000	1205000	You, you get the file format.
1205000	1206000	I think.
1206000	1207000	Yeah.
1207000	1208000	But what's the ratio?
1208000	1212000	I think I would say like a 50-50 or 60 on WeChat, 40 on WhatsApp.
1212000	1213000	Okay, now I know WeChat.
1213000	1216000	WeChat confirm that China API is very good one.
1216000	1221000	WhatsApp is the one that is normally a headache because they are quite anti-automation.
1221000	1222000	I don't know if you...
1222000	1223000	Yeah, anyway.
1223000	1225000	But long story short, both can be done.
1225000	1226000	It's not a guarantee you, right?
1226000	1230000	But then, I guess the idea is that you want this form filled up, just without...
1230000	1231000	Yes.
1231000	1235000	But then, but in that case, then do you need the password link or all that crap?
1235000	1236000	No need, right?
1236000	1237000	No need, no need, no need, no need.
1237000	1241000	This one is, is, is, is, it need to be plugged into the phone, right?
1241000	1245000	Or somehow connected to a phone number that we're using.
1245000	1250000	Or the number, or whichever WhatsApp WeChat account that we need to be linked up.
1250000	1253000	So, I don't need the customer to access the system.
1253000	1256000	It's just like auto-capture and generates on the back end.
1256000	1258000	That, that should do the job.
1258000	1263000	Okay, then, then like a super simple flow would just be, WhatsApp comes in, right?
1263000	1265000	You get shared into an Excel sheet.
1265000	1267000	Your team approves.
1267000	1271000	Once they approve, it gets shared into a PDF in this format.
1271000	1272000	Yeah?
1272000	1276000	That, that would be the, the most basic, you know, without over-engineering or overthinking it, right?
1276000	1278000	That would probably solve the problem, right?
1278000	1279000	Yeah.
1279000	1282000	Then you would just get a very clean PDF in.
1282000	1284000	I assume you have a template, right?
1284000	1285000	Just give me a template, though.
1285000	1286000	Yeah.
1286000	1287000	And then some examples.
1287000	1289000	And then, I think that's the entire scope, right?
1289000	1290000	Yeah.
1290000	1292000	Cause, I don't know why I even quote you 100K, right?
1292000	1295000	But that, that is, dude, this is, this is not like that deep, you know what I mean?
1295000	1298000	It's, if you solve the problem, it's not that deep.
1298000	1300000	But if you want to go on to expand beyond this, right?
1300000	1301000	Then it'll be a lot harder, la.
1301000	1302000	It doesn't make sense, right?
1302000	1303000	Yeah, bro, it's not code, la.
1303000	1305000	Because I think you want to do something fancy.
1305000	1306000	You want to create a platform, la.
1306000	1307000	Yeah.
1307000	1308000	So, I mean, these three things, right?
1308000	1309000	One, what's that in?
1309000	1312000	Verify against your source of truth, which is the export on a weekly basis of both the
1312000	1314000	SKU inventory and the customer history, right?
1314000	1315000	Excel will flag the things that are exceptions.
1315000	1318000	So, either missing information from the order that is not matching with the SKU, or weird shit
1318000	1319000	that comes up that doesn't match with the order history.
1319000	1320000	And then exceptions, which is your blood meat, or your pig blood, right?
1320000	1321000	That one will just come up as like, okay, not identified.
1321000	1322000	Then your team will manually do it.
1322000	1323000	Then once they clean up in the morning, they will just review the Excel.
1323000	1326000	Then basically they click a button and then it will shit up the correct invoices and
1326000	1327000	then you can take it from there.
1327000	1328000	Right?
1328000	1329000	The correct PDF.
1329000	1330000	I think that's the flow, right?
1330000	1331000	Yes, correct.
1331000	1332000	Okay.
1332000	1333000	I think that's the flow, right?
1333000	1334000	Yes, correct.
1334000	1335000	Okay.
1335000	1336000	Okay.
1336000	1337000	Okay.
1337000	1338000	Okay.
1338000	1339000	Okay.
1339000	1340000	Okay.
1340000	1341000	Okay.
1341000	1342000	Okay.
1342000	1343000	Okay.
1343000	1344000	Okay.
1344000	1345000	Okay.
1345000	1346000	Okay.
1346000	1347000	Okay.
1347000	1348000	Okay.
1348000	1348000	
1348000	1349000	Okay.
1349000	1350000	Okay.
1350000	1351000	Okay.
1351000	1352000	Okay.
1352000	1353000	Okay.
1353000	1354000	Okay.
1354000	1355000	Okay.
1355000	1356000	Okay.
1356000	1357000	Okay.
1357000	1358000	Okay.
1358000	1359000	Okay.
1359000	1360000	Okay.
1360000	1361000	Okay.
1361000	1362000	Okay.
1362000	1363000	Okay.
1363000	1364000	Okay.
1364000	1365000	Okay.
1365000	1366000	Okay.
1366000	1367000	Okay.
1367000	1368000	Okay.
1368000	1369000	Okay.
1369000	1370000	Okay.
1370000	1371000	Okay.
1371000	1372000	Okay.
1372000	1373000	Okay.
1373000	1374000	Okay.
1374000	1375000	Okay.
1375000	1376000	Okay.
1376000	1377000	Okay.
1377000	1378000	Okay.
1378000	1378000	
1378000	1379000	Okay.
1379000	1380000	Okay.
1380000	1381000	Okay.
1381000	1382000	Okay.
1382000	1383000	Okay.
1383000	1384000	Okay.
1384000	1385000	Okay.
1385000	1386000	Okay.
1386000	1387000	Okay.
1387000	1387000	
1387000	1388000	Okay.
1388000	1389000	Okay.
1389000	1390000	Okay.
1390000	1390000	
1390000	1391000	Okay.
1391000	1391000	
1391000	1392000	Okay.
1392000	1392000	
1392000	1393000	Okay.
1393000	1393000	
1393000	1394000	Okay.
1394000	1394000	
1394000	1395000	Okay.
1395000	1395000	
1395000	1396000	Okay.
1396000	1397000	Okay.
1397000	1398000	Okay.
1398000	1399000	Okay.
1399000	1400000	Okay.
1400000	1401000	Okay.
1401000	1402000	Okay.
1402000	1403000	Okay.
1403000	1404000	Okay.
1404000	1405000	Okay.
1405000	1406000	Okay.
1406000	1406000	
1406000	1407000	Okay.
1407000	1408000	Okay.
1408000	1408000	
1408000	1409000	Okay.
1409000	1410000	Okay.
1410000	1410000	
1410000	1411000	Okay.
1411000	1411000	
1411000	1412000	Okay.
1412000	1413000	Okay.
1413000	1414000	Okay.
1414000	1415000	Okay.
1415000	1416000	Okay.
1416000	1416000	
1416000	1417000	Okay.
1417000	1417000	
1417000	1418000	Okay.
1418000	1419000	Okay.
1419000	1420000	Okay.
1420000	1421000	Okay.
1421000	1422000	Okay.
1422000	1423000	Okay.
1423000	1424000	Okay.
1424000	1425000	Okay.
1425000	1426000	Okay.
1426000	1427000	Okay.
1427000	1428000	Okay.
1428000	1429000	Okay.
1429000	1429000	
1429000	1430000	Okay.
1430000	1430000	
1430000	1431000	Okay.
1431000	1431000	
1431000	1432000	Okay.
1432000	1432000	
1432000	1433000	Okay.
1433000	1433000	
1433000	1434000	Okay.
1434000	1435000	Okay.
1435000	1435000	
1435000	1436000	Okay.
1436000	1437000	Okay.
1437000	1437000	
1437000	1438000	Okay.
1438000	1439000	Okay.
1439000	1439000	
1439000	1440000	Okay.
1440000	1441000	Okay.
1441000	1442000	Okay.
1442000	1443000	Okay.
1443000	1444000	Okay.
1444000	1445000	Okay.
1445000	1446000	Okay.
1446000	1447000	Okay.
1447000	1448000	Okay.
1448000	1449000	Okay.
1449000	1450000	Okay.
1450000	1451000	Okay.
1451000	1452000	Okay.
1452000	1453000	Okay.
1453000	1454000	Okay.
1454000	1455000	Okay.
1455000	1456000	Okay.
1456000	1457000	Okay.
1457000	1458000	Okay.
1458000	1459000	Okay.
1459000	1460000	Okay.
1460000	1461000	Okay.
1461000	1462000	Okay.
1462000	1463000	Okay.
1463000	1464000	Okay.
1464000	1465000	Okay.
1465000	1466000	Okay.
1466000	1467000	Okay.
1467000	1468000	Okay.
1468000	1469000	Okay.
1469000	1470000	Okay.
1470000	1471000	Okay.
1471000	1472000	Okay.
1472000	1473000	Okay.
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1473000	
1473000	1474000	Okay.
1474000	1480000	So if you give me two kilos of donkey, two kilos of horsey, you know, that kind of thing.
1480000	1481000	Okay.
1481000	1482000	Okay.
1482000	1483000	Horsey.
1483000	1484000	Okay.
1484000	1485000	Then you'll be like, what the fuck is a horsey?
1485000	1490000	So are you able to give me a prompt back to the customer and say, can you clarify what's
1490000	1491000	!
1491000	1494000	That thing that you're asking if it doesn't really understand instead of just capturing
1494000	1495000	and interpreting it on its own.
1495000	1496000	Yeah.
1496000	1497000	So I think two things can add, right?
1497000	1498000	Which is quite simple.
1498000	1502000	One is that for every order that is captured, we will include the verbatism.
1502000	1507000	The verbatim transcript or the, what was said.
1507000	1508000	You know what I mean?
1508000	1510000	Next to the Excel sheet, you know, in the Excel sheet, there are columns, right?
1510000	1511000	We'll put in the order.
1511000	1514000	Then we'll put in the verbatim so that your team can easily scan and say like, oh, actually,
1514000	1517000	this was the verbatim, right?
1517000	1522000	Then we can also put the clarifying prompt next to it so that your team can manually feedback.
1522000	1526000	You can automate this but like, it's not worth it until you see the volume, I guess.
1526000	1531000	If there's a lot of errors, then you can start saying like, okay, then we want to make a back and forth automation, right?
1531000	1532000	But, you know what I mean?
1532000	1540000	I think it would be better for example, I give you like, for example, I ordered 10 items on the list, right?
1540000	1542000	Then, all done, okay?
1542000	1547000	Your system captures everything, register everything linked up with the history and blah, blah, blah.
1547000	1549000	Send a confirmation response.
1549000	1551000	This is what you ordered.
