type,provider,metric,unit,low,base,high,notes,source
rate,Gemini 2.5 Flash,output_tokens,usd/1m_tokens,2.5,2.5,2.5,Standard paid tier,https://ai.google.dev/gemini-api/docs/pricing
rate,ExtendAI,effective_complex_doc_cost,usd/doc,0.25,0.25,0.25,Model assumption from public credit plans,https://www.extend.ai/pricing
rate,Vercel_Sandbox,cpu,usd/cpu_hour,0.07,0.07,0.07,Usage-based,https://vercel.com/docs/sandbox
rate,Vercel_Sandbox,memory,usd/gb_hour,0.04375,0.04375,0.04375,Usage-based,https://vercel.com/docs/sandbox
rate,Vercel_Sandbox,hot_storage,usd/gb_hour,0.000683,0.000683,0.000683,Usage-based,https://vercel.com/docs/sandbox
rate,Vercel_Sandbox,storage,usd/gb_hour,0.000027,0.000027,0.000027,Usage-based,https://vercel.com/docs/sandbox
usage_per_active_user,Browserbase,browser_hours,hours/user/month,2,5,15,Stateful automation time per active user,internal model assumption
usage_per_active_user,Browserbase,proxy_data,gb/user/month,0.03,0.08,0.3,Proxy data per active user,internal model assumption
usage_per_active_user,Firecrawl,credits,credits/user/month,80,220,700,Browser + scrape usage,internal model assumption
usage_per_active_user,Brave Search,requests,requests/user/month,30,80,250,Search requests,internal model assumption
usage_per_active_user,Exa,search_requests,requests/user/month,15,40,120,Search calls,internal model assumption
usage_per_active_user,Exa,contents_pages,pages/user/month,50,120,350,Known URL extraction pages,internal model assumption
usage_per_active_user,OpenRouter,passthrough_llm_spend,usd/user/month,2,4,12,Model spend before OpenRouter platform fee,internal model assumption
usage_per_active_user,OpenAI Whisper,minutes,minutes/user/month,8,20,60,Voice transcription volume,internal model assumption
usage_per_active_user,Inworld,characters,chars/user/month,2500,6000,18000,TTS output volume,internal model assumption
usage_per_active_user,Gemini 2.5 Flash,input_tokens,tokens/user/month,100000,250000,800000,Document classification + extraction input,internal model assumption
usage_per_active_user,Gemini 2.5 Flash,output_tokens,tokens/user/month,20000,50000,170000,Document extraction output,internal model assumption
usage_per_active_user,ExtendAI,complex_docs,docs/user/month,0.5,1.5,4,Complex extraction documents,internal model assumption
usage_per_active_user,Composio,tool_calls,calls/user/month,200,450,1500,Standard tool calls,internal model assumption
usage_per_active_user,Composio,premium_tool_calls,calls/user/month,15,40,150,Premium tool calls,internal model assumption
usage_per_active_user,Vercel_Sandbox,cpu_hours,cpu_hours/user/month,6,12,30,Runtime CPU usage,internal model assumption
usage_per_active_user,Vercel_Sandbox,memory_gb_hours,gb_hours/user/month,24,45,120,Runtime memory usage,internal model assumption
usage_per_active_user,Vercel_Sandbox,hot_storage_gb_hours,gb_hours/user/month,120,220,500,Hot storage usage,internal model assumption
usage_per_active_user,Vercel_Sandbox,storage_gb_hours,gb_hours/user/month,3650,6000,9000,Durable storage usage,internal model assumption
usage_per_active_user,Supabase,overage_blended,usd/user/month,0,0.1,0.6,Blended overage allocation assumption,internal model assumption
